scenario,lambda,mu,servers,avg_wait,utilization,throughput
BaseSystem_C2,4.0,1.0,2,750.6097249327726,1.0002145919477208,1.967
BaseSystem_C4,4.0,1.0,4,12.741100932036947,0.9823675784172617,3.9643333333333333
BaseSystem_C8,4.0,1.0,8,0.018147237592208865,0.5112761779504592,4.023333333333333
HigherLoad_C4,6.0,1.0,4,490.6201259681486,1.0000003020909902,3.9966666666666666
FasterService_C4,4.0,1.25,4,0.7555869876624981,0.8297864031184795,4.100333333333333
